Team,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Arsenal,2.0,2.0,1.0,2.0,1.0,2.0,4.0,4.0,3.0,4.0,3.0,4.0,3.0,4.0,4.0,3.0,2.0,5.0,6.0,5.0,8.0,8.0,5.0
Aston Villa,6.0,8.0,8.0,16.0,6.0,10.0,16.0,11.0,6.0,6.0,6.0,9.0,16.0,15.0,15.0,17.0,20.0,,,,17.0,11.0,14.0
Birmingham,,,,13.0,10.0,12.0,18.0,,19.0,,9.0,18.0,,,,,,,,,,,
Blackburn,,,10.0,6.0,15.0,15.0,6.0,10.0,7.0,15.0,10.0,15.0,19.0,,,,,,,,,,
Blackpool,,,,,,,,,,,,19.0,,,,,,,,,,,
Bolton,,,16.0,17.0,8.0,6.0,8.0,7.0,16.0,13.0,14.0,14.0,18.0,,,,,,,,,,
Bournemouth,,,,,,,,,,,,,,,,,16.0,9.0,12.0,14.0,18.0,,
Bradford,17.0,20.0,,,,,,,,,,,,,,,,,,,,,
Brentford,,,,,,,,,,,,,,,,,,,,,,,13.0
Brighton & Hove Albion,,,,,,,,,,,,,,,,,,,15.0,17.0,15.0,16.0,9.0
Burnley,,,,,,,,,,,18.0,,,,,19.0,,16.0,7.0,15.0,10.0,17.0,18.0
Cardiff,,,,,,,,,,,,,,,20.0,,,,,18.0,,,
Charlton,,9.0,14.0,12.0,7.0,11.0,13.0,19.0,,,,,,,,,,,,,,,
Chelsea,5.0,6.0,6.0,4.0,2.0,1.0,1.0,2.0,2.0,3.0,1.0,2.0,6.0,3.0,3.0,1.0,10.0,1.0,5.0,3.0,4.0,4.0,3.0
Coventry,14.0,19.0,,,,,,,,,,,,,,,,,,,,,
Crystal Palace,,,,,,18.0,,,,,,,,,11.0,10.0,15.0,14.0,11.0,12.0,14.0,14.0,12.0
Derby,16.0,17.0,19.0,,,,,,20.0,,,,,,,,,,,,,,
Everton,13.0,16.0,15.0,7.0,17.0,4.0,11.0,6.0,5.0,5.0,8.0,7.0,7.0,6.0,5.0,11.0,11.0,7.0,8.0,8.0,12.0,10.0,16.0
Fulham,,,13.0,14.0,9.0,13.0,12.0,16.0,17.0,7.0,12.0,8.0,9.0,12.0,19.0,,,,,19.0,,18.0,
Huddersfield Town,,,,,,,,,,,,,,,,,,,16.0,20.0,,,
Hull,,,,,,,,,,17.0,19.0,,,,16.0,18.0,,18.0,,,,,
Ipswich,,5.0,18.0,,,,,,,,,,,,,,,,,,,,
Leeds,3.0,4.0,5.0,15.0,19.0,,,,,,,,,,,,,,,,,9.0,17.0
Leicester,8.0,13.0,20.0,,18.0,,,,,,,,,,,14.0,1.0,12.0,9.0,9.0,5.0,5.0,8.0
Liverpool,4.0,3.0,2.0,5.0,4.0,5.0,3.0,3.0,4.0,2.0,7.0,6.0,8.0,7.0,2.0,6.0,8.0,4.0,4.0,2.0,1.0,3.0,2.0
Man City,,18.0,,9.0,16.0,8.0,15.0,14.0,9.0,10.0,5.0,3.0,1.0,2.0,1.0,2.0,4.0,3.0,1.0,1.0,2.0,1.0,1.0
Man United,1.0,1.0,3.0,1.0,3.0,3.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,7.0,4.0,5.0,6.0,2.0,6.0,3.0,2.0,6.0
Middlesbrough,12.0,14.0,12.0,11.0,11.0,7.0,14.0,12.0,13.0,19.0,,,,,,,,19.0,,,,,
Newcastle,11.0,11.0,4.0,3.0,5.0,14.0,7.0,13.0,12.0,18.0,,12.0,5.0,16.0,10.0,15.0,18.0,,10.0,13.0,13.0,12.0,11.0
Norwich,,,,,,19.0,,,,,,,12.0,11.0,18.0,,19.0,,,,20.0,,20.0
Portsmouth,,,,,13.0,16.0,17.0,9.0,8.0,14.0,20.0,,,,,,,,,,,,
QPR,,,,,,,,,,,,,17.0,20.0,,20.0,,,,,,,
Reading,,,,,,,,8.0,18.0,,,,,19.0,,,,,,,,,
Sheffield United,19.0,,,,,,,18.0,,,,,,,,,,,,,9.0,20.0,
Southampton,15.0,10.0,11.0,8.0,12.0,20.0,,,,,,,,14.0,8.0,7.0,6.0,8.0,17.0,16.0,11.0,15.0,15.0
Stoke,,,,,,,,,,12.0,11.0,13.0,14.0,13.0,9.0,9.0,9.0,13.0,19.0,,,,
Sunderland,7.0,7.0,17.0,20.0,,,20.0,,15.0,16.0,13.0,10.0,13.0,17.0,14.0,16.0,17.0,20.0,,,,,
Swansea,,,,,,,,,,,,,11.0,9.0,12.0,8.0,12.0,15.0,18.0,,,,
Tottenham,10.0,12.0,9.0,10.0,14.0,9.0,5.0,5.0,11.0,8.0,4.0,5.0,4.0,5.0,6.0,5.0,3.0,2.0,3.0,4.0,6.0,7.0,4.0
Watford,20.0,,,,,,,20.0,,,,,,,,,13.0,17.0,14.0,11.0,19.0,,19.0
West Brom,,,,19.0,,17.0,19.0,,,20.0,,11.0,10.0,8.0,17.0,13.0,14.0,10.0,20.0,,,19.0,
West Ham,9.0,15.0,7.0,18.0,,,9.0,15.0,10.0,9.0,17.0,20.0,,10.0,13.0,12.0,7.0,11.0,13.0,10.0,16.0,6.0,7.0
Wigan,,,,,,,10.0,17.0,14.0,11.0,16.0,16.0,15.0,18.0,,,,,,,,,
Wolves,,,,,20.0,,,,,,15.0,17.0,20.0,,,,,,,7.0,7.0,13.0,10.0
